"filename", "language", "Python", "C++", "comment", "blank", "total"
"/home/finn/Documents/honours-project/c-attempt/avg-finite-time/main.cpp", "C++", 0, 7, 0, 3, 10
"/home/finn/Documents/honours-project/c-attempt/avg-finite-time/main_config.h", "C++", 0, 17, 1, 7, 25
"/home/finn/Documents/honours-project/c-attempt/avg-finite-time/main_simple.cpp", "C++", 0, 122, 59, 64, 245
"/home/finn/Documents/honours-project/c-attempt/convex_hull.h", "C++", 0, 83, 5, 21, 109
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Cholesky/LDLT.h", "C++", 0, 410, 188, 91, 689
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Cholesky/LLT.h", "C++", 0, 344, 143, 72, 559
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Cholesky/LLT_LAPACKE.h", "C++", 0, 59, 31, 10, 100
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/CholmodSupport/CholmodSupport.h", "C++", 0, 410, 177, 96, 683
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/ArithmeticSequence.h", "C++", 0, 262, 93, 59, 414
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Array.h", "C++", 0, 227, 143, 48, 418
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/ArrayBase.h", "C++", 0, 137, 59, 31, 227
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/ArrayWrapper.h", "C++", 0, 138, 38, 34, 210
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Assign.h", "C++", 0, 66, 10, 15, 91
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/AssignEvaluator.h", "C++", 0, 748, 118, 145, 1011
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Assign_MKL.h", "C++", 0, 124, 33, 22, 179
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/BandMatrix.h", "C++", 0, 235, 60, 59, 354
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Block.h", "C++", 0, 309, 82, 58, 449
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/BooleanRedux.h", "C++", 0, 112, 31, 20, 163
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/CommaInitializer.h", "C++", 0, 102, 47, 16, 165
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/ConditionEstimator.h", "C++", 0, 95, 66, 15, 176
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/CoreEvaluators.h", "C++", 0, 1345, 111, 286, 1742
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/CoreIterators.h", "C++", 0, 76, 32, 25, 133
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/CwiseBinaryOp.h", "C++", 0, 116, 48, 20, 184
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/CwiseNullaryOp.h", "C++", 0, 417, 512, 73, 1002
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/CwiseTernaryOp.h", "C++", 0, 125, 53, 20, 198
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/CwiseUnaryOp.h", "C++", 0, 56, 32, 16, 104
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/CwiseUnaryView.h", "C++", 0, 83, 27, 23, 133
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/DenseBase.h", "C++", 0, 410, 194, 98, 702
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/DenseCoeffsBase.h", "C++", 0, 368, 232, 86, 686
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/DenseStorage.h", "C++", 0, 572, 39, 42, 653
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Diagonal.h", "C++", 0, 164, 62, 33, 259
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/DiagonalMatrix.h", "C++", 0, 254, 85, 53, 392
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/DiagonalProduct.h", "C++", 0, 12, 11, 6, 29
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Dot.h", "C++", 0, 181, 108, 30, 319
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/EigenBase.h", "C++", 0, 80, 60, 21, 161
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/ForceAlignedAccess.h", "C++", 0, 93, 32, 26, 151
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Fuzzy.h", "C++", 0, 90, 49, 17, 156
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/GeneralProduct.h", "C++", 0, 323, 84, 59, 466
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/GenericPacketMath.h", "C++", 0, 671, 216, 154, 1041
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/GlobalFunctions.h", "C++", 0, 132, 47, 16, 195
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/IO.h", "C++", 0, 166, 70, 23, 259
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/IndexedView.h", "C++", 0, 134, 55, 49, 238
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Inverse.h", "C++", 0, 67, 29, 22, 118
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Map.h", "C++", 0, 77, 77, 18, 172
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/MapBase.h", "C++", 0, 206, 60, 45, 311
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/MathFunctions.h", "C++", 0, 1604, 163, 291, 2058
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/MathFunctionsImpl.h", "C++", 0, 104, 74, 23, 201
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Matrix.h", "C++", 0, 240, 270, 56, 566
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/MatrixBase.h", "C++", 0, 351, 103, 94, 548
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/NestByValue.h", "C++", 0, 45, 24, 17, 86
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/NoAlias.h", "C++", 0, 46, 51, 13, 110
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/NumTraits.h", "C++", 0, 224, 67, 45, 336
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/PartialReduxEvaluator.h", "C++", 0, 151, 46, 36, 233
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/PermutationMatrix.h", "C++", 0, 372, 149, 85, 606
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/PlainObjectBase.h", "C++", 0, 758, 259, 112, 1129
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Product.h", "C++", 0, 127, 26, 39, 192
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/ProductEvaluators.h", "C++", 0, 863, 143, 174, 1180
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Random.h", "C++", 0, 63, 139, 17, 219
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Redux.h", "C++", 0, 370, 82, 64, 516
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Ref.h", "C++", 0, 222, 111, 49, 382
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Replicate.h", "C++", 0, 85, 42, 16, 143
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Reshaped.h", "C++", 0, 310, 73, 72, 455
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/ReturnByValue.h", "C++", 0, 74, 26, 20, 120
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Reverse.h", "C++", 0, 135, 54, 29, 218
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Select.h", "C++", 0, 104, 40, 21, 165
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/SelfAdjointView.h", "C++", 0, 212, 102, 52, 366
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/SelfCwiseBinaryOp.h", "C++", 0, 29, 9, 10, 48
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Solve.h", "C++", 0, 125, 28, 36, 189
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/SolveTriangular.h", "C++", 0, 168, 20, 48, 236
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/SolverBase.h", "C++", 0, 94, 48, 27, 169
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/StableNorm.h", "C++", 0, 180, 42, 30, 252
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/StlIterators.h", "C++", 0, 339, 32, 93, 464
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Stride.h", "C++", 0, 53, 51, 13, 117
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Swap.h", "C++", 0, 46, 10, 13, 69
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/Transpose.h", "C++", 0, 286, 120, 59, 465
