core_idx,g1,g2
0.340188,0.283099,-0.105617,0.298440
0.238959,-0.266881,0.432485,0.426576
-0.156480,-0.405680,-0.449534,0.309355
0.319374,-0.137885,0.138687,-0.119566
0.275665,0.184799,-0.347390,-0.417432
-0.112997,0.300239,0.032111,-0.117085
-0.160080,-0.222386,0.402217,0.164511
-0.419834,-0.108595,-0.400684,-0.430862
-0.189210,-0.233806,0.342312,-0.096553
0.495769,0.244599,0.422579,-0.402370
0.079792,0.215045,-0.289834,0.467900
-0.178642,-0.180766,0.156653,0.432321
-0.165394,-0.044587,0.135708,0.366660
0.054021,0.357493,-0.192226,0.314989
-0.422360,0.199824,-0.367478,0.063184
-0.253897,-0.477434,0.009358,0.370172
-0.016153,-0.085514,0.361494,0.473881
-0.448712,0.448937,0.150771,-0.129334
-0.322655,-0.152387,0.454996,0.415238
0.262017,0.025025,-0.439467,0.148255
0.023953,0.014652,0.483318,0.066787
-0.139255,-0.209332,-0.176600,0.163956
0.430664,0.109188,-0.471214,0.425512
-0.261146,0.224222,-0.058313,-0.181254
-0.139437,-0.363571,0.255330,-0.486008
-0.361514,-0.291248,-0.001112,0.368026
-0.302908,-0.340370,0.142542,0.192427
0.239225,-0.096938,0.499373,-0.032732
0.140879,-0.461643,0.156740,-0.342948
0.017559,0.166861,-0.383250,0.169447
0.364751,-0.045920,-0.266020,-0.291110
-0.329943,0.495006,-0.189531,-0.379006
-0.096042,0.074836,0.042412,0.123429
-0.407467,-0.408622,-0.290161,-0.165411
0.188776,0.417704,-0.011948,0.090407
0.221565,-0.417054,-0.121845,0.396690
-0.325743,-0.337272,0.015030,0.345826
0.158693,-0.399995,-0.438544,0.477632
0.437736,0.218817,-0.115776,0.363120
-0.101125,0.218424,-0.286332,0.351981
-0.307971,-0.373562,-0.033360,0.179258
-0.124845,-0.266271,-0.339219,-0.209756
-0.110742,-0.065364,0.056053,-0.313683
-0.319463,-0.137421,-0.195839,0.337612
0.162500,-0.217810,0.127651,-0.473795
-0.425503,0.269448,-0.281731,-0.332530
0.372767,-0.393637,0.312742,-0.289819
0.044213,0.497355,0.160491,-0.182922
-0.131458,-0.147443,0.162833,0.479846
-0.063112,0.124827,-0.494806,0.489499
0.444009,0.360223,0.311818,-0.076092
0.058418,0.150924,0.044369,0.370461
0.215295,0.444850,-0.094199,-0.167677
0.415921,0.078433,0.184048,-0.427561
0.219753,-0.137984,-0.038652,-0.225658
0.130516,-0.478539,0.167795,0.246643
0.268805,0.265695,0.266608,-0.329967
0.382390,0.237507,0.183443,0.076464
-0.429112,0.247027,0.265430,0.175559
0.374931,-0.400773,0.379161,-0.035513
0.013689,-0.239743,-0.191726,-0.217290
0.301780,-0.167687,-0.307205,0.020971
0.224525,-0.135978,-0.386044,-0.252804
-0.247246,0.148003,0.275250,-0.433097
-0.101283,0.191410,0.240429,0.243597
0.368270,-0.207054,0.125650,-0.437429
-0.126226,0.393990,0.460461,-0.411240
0.453272,-0.470784,0.316234,-0.179548
0.060361,-0.030344,-0.371505,-0.481925
0.093882,0.014574,0.496203,-0.106377
0.473439,-0.340900,-0.260677,-0.196237
-0.241191,-0.135594,-0.148682,0.288649
-0.217248,0.100527,-0.498069,-0.474908
0.049954,-0.246200,0.045825,0.237856
0.358316,-0.445682,0.014499,-0.297745
-0.391054,0.483251,-0.076627,0.016660
-0.407480,0.488106,-0.211158,-0.463457
-0.015345,0.468510,0.263824,0.269240
-0.261101,0.356151,-0.119398,-0.234463
0.302400,0.268245,0.298269,0.036289
0.398035,-0.080995,0.208717,-0.192853
-0.397746,0.217071,-0.204730,0.483444
-0.137915,-0.178670,0.213856,0.316543
0.328543,0.483866,-0.049041,-0.191289
0.321738,-0.069554,-0.316493,0.353292
0.180233,0.113758,-0.444068,-0.270172
0.333491,0.138525,-0.308518,0.387947
-0.079158,-0.458456,-0.219589,0.233736
-0.262551,0.361025,0.225618,-0.182990
0.412561,0.190625,-0.139110,-0.028374
0.126121,0.372499,-0.448000,-0.180989
