core_idx,g1,g2
0.154868,1.109401,-0.344836,1.126596
0.933378,0.505189,0.794136,0.024969
-1.162843,-1.048365,-0.713298,-0.829483
-0.537536,-0.072276,-0.062871,0.084864
0.089974,0.670221,0.443657,1.023645
-0.785821,-0.406453,-0.549590,-0.847128
-0.035142,0.045784,-0.533487,0.005142
0.693671,0.045955,0.212395,-0.089595
0.419318,0.457575,0.879543,0.262144
0.147021,0.455614,0.638626,0.364380
0.561270,1.025462,0.122693,1.265566
1.281569,0.232302,1.029605,0.664175
-0.579896,-0.149978,-0.868660,-0.558164
0.180478,1.218455,0.033640,0.740502
0.391643,-0.196615,0.081578,-0.588865
0.931333,-0.757377,0.584330,-1.117361
-0.368662,1.115066,-0.240959,0.984779
0.044525,-0.699823,0.544409,-0.710625
0.172370,-0.439747,0.238317,-0.935379
-1.089434,1.587821,-1.190824,1.098209
-0.220193,0.673448,0.166586,0.419739
1.303419,1.366488,0.826191,1.217312
1.080303,0.953385,0.995836,0.482139
0.151643,-0.120745,0.202826,0.376628
-0.375525,0.403873,-0.461321,0.896457
0.058403,-0.967614,0.276018,-0.517454
0.004215,-0.217372,-0.426821,0.036022
0.239068,-0.031105,0.578953,0.335608
0.175109,-0.377363,-0.149878,-0.341259
1.121200,-0.086409,1.064110,0.410321
-0.225046,-0.269803,0.273868,-0.236876
-0.126451,0.568307,0.220667,0.928181
1.378985,0.391155,1.321113,0.887795
0.515074,-0.060611,0.975252,-0.256153
-0.642919,0.178629,-0.499835,-0.300461
0.836968,-1.150333,0.883497,-0.652503
0.652167,-0.384003,0.221341,-0.130253
0.077874,-1.013554,-0.413845,-0.922929
-0.637886,0.555437,-0.142692,0.486277
-0.029501,0.427668,0.380579,0.141601
0.514668,0.740987,0.370292,0.262285
0.560181,-0.975995,1.008970,-0.755568
0.093272,-0.789063,-0.076659,-0.318826
-1.548757,-1.131192,-1.537477,-1.293457
0.197975,0.347223,0.593732,0.041647
-0.247682,0.850750,-0.316925,0.355568
-0.222779,-1.392132,0.276641,-1.368049
-1.310154,-0.014442,-1.248493,-0.510625
-0.528606,-0.034476,-0.108327,-0.208771
-0.062015,-0.176820,-0.555364,-0.258105
-0.659135,0.060797,-1.159132,0.062602
-0.156960,0.681584,-0.607867,0.465522
0.840687,0.392654,0.889178,0.157043
-0.783248,-0.874883,-0.752521,-1.373938
-0.054841,1.068755,-0.142178,1.473129
0.299876,0.164462,0.799228,0.139026
-0.607142,1.449014,-0.259206,1.089931
0.804451,0.640887,0.429192,0.971312
1.037800,1.158970,0.584672,0.947603
0.455830,-0.457110,0.351714,0.031930
0.613359,-0.028725,0.675283,-0.524875
-0.353311,0.262728,-0.852661,0.288215
-0.510476,0.152083,-0.080520,0.407303
0.110494,-0.251041,0.126833,-0.750774
1.276741,1.269646,1.641419,0.927579
0.234577,0.672279,-0.168737,0.376750
-0.084656,1.486222,0.414714,1.461140
-0.475032,0.416656,-0.158221,0.552093
-0.005735,0.382049,0.226283,-0.060859
-0.407120,-0.858641,-0.907113,-0.856087
0.178295,1.364857,0.516813,1.457008
0.818481,-0.020334,0.414106,0.273743
-0.323063,0.123993,-0.802740,-0.017111
-1.391467,-1.346356,-0.894863,-1.404530
-0.157980,0.252618,-0.046250,-0.234739
-0.563958,1.353885,-0.634175,0.858840
0.554928,-0.936878,0.952927,-0.634228
0.450014,0.395242,0.254061,0.855245
-0.598912,-0.485361,-0.894447,-0.888670
0.456137,-0.333835,0.695320,0.105246
0.050919,0.288080,-0.433132,0.162800
-0.854437,-0.321402,-0.776564,-0.512221
0.208343,0.025592,0.020709,-0.043948
0.368951,-0.457372,0.068740,-0.857214
0.904500,-0.275423,1.404412,-0.266057
-0.254654,-0.673205,-0.089318,-1.145078
-0.816607,0.445223,-0.417163,0.144482
0.029040,0.442112,0.072833,0.940191
0.634940,0.864465,0.806427,0.394793
-0.234630,-0.303579,0.082956,0.043254
-0.394622,0.406441,-0.017190,0.078500
-0.311071,-0.997373,-0.000087,-0.605852
-0.605115,0.788845,-0.155227,0.570669
-1.435504,-0.353634,-1.603147,-0.584906
0.005375,-0.157994,0.448797,0.073043
-0.636375,-0.777820,-1.065784,-0.521680
1.119921,-0.477722,1.243781,-0.743318
0.621746,0.354008,0.627155,0.853978
0.772545,-0.908770,0.614089,-0.691731
0.457755,-1.320126,-0.039095,-1.264094
